,user,date,renderedContent
1894,lajuhouse,2009-12-14 19:24:26+00:00,"INTERNASIONAL : Cedera, Messi Batal Lawan Atlante- Lionel Messi, masih mengalami cedera dan terancam tidak bisa mem... http://bit.ly/4LtbpL"
1895,hilmanmunawar,2009-12-11 21:59:31+00:00,Messi Batal Tampil di Piala Dunia Antar Klub?: Publik Abu Dhabi bisa jadi tidak akan melihat aksi Lionel Messi .. http://bit.ly/4BpcW0
1896,AsiaOfficials,2009-12-11 21:46:10+00:00,Messi Batal Tampil di Piala Dunia Antar Klub?: Publik Abu Dhabi bisa jadi tidak akan melihat aksi Lionel Messi secara langsung di perhela..
1897,antara_id,2008-08-06 16:09:28+00:00,"Messi Batal Ikut Olimpiade: Pemain bintang Barcelona, Lionel Messi, akan absen di turnamen sepak bola O.. http://tinyurl.com/587yf2"
1898,detiksport,2023-06-16 06:34:53+00:00,Lionel Messi menjadi daya tarik dari kedatangan Timnas Argentina ke China. Ribuan suporter memberi sambutan gila sejak awal sampai akhir agenda La Pulga. https://t.co/suXVhl8Xnp
1899,xxrapzz,2023-06-16 06:33:51+00:00,"Jeonbuk Hyundai ke Indonesia nurunin tim B (Pelapis), timnas Argentina juga, Coldplay gak pake unit pelapis sekalian kah?"
1900,detikcom,2023-06-16 06:32:00+00:00,"Lionel Messi menjadi daya tarik dari kedatangan Timnas Argentina ke China. Ribuan suporter memberi sambutan gila sejak awal sampai akhir agenda La Pulga.

https://t.co/HvjF5jfvqY"
1901,Bolanet,2023-06-16 06:30:00+00:00,"Menyusul Lionel Messi, 2 pemain bintang Argentina absen lawan Timnas Indonesia!
https://t.co/5V5H9Uv36A"
1902,turunminum_id,2023-06-16 06:29:31+00:00,"Tiga bintang Argentina yaitu Lionel Messi, Nicolas Otamendi, dan Angel Di Maria dikabarkan resmi absen saat tim Tango menantang Timnas Indonesia pada FIFA Matchday 2023. Semangat suporter Indonesia pun mulai menurun. https://t.co/ECC8j4CkPv"
1903,newsbyfocal,2023-06-16 06:29:27+00:00,"WHY MISTER MESSI WHY 😱🫣

Desas-desus absennya Lionel Messi saat melawat ke Indonesia akhirnya dikonfirmasi pelatih Timnas Argentina, Lionel Scaloni. Bahkan, bukan hanya Messi,

#NewsByFOCAL https://t.co/9SE8P1ak0d"
1904,BolaNusantaraID,2023-06-16 06:28:56+00:00,"Berangkat Tanpa Lionel Messi dan Di Maria, Ini Bocoran Waktu Kedatangan Timnas Argentina Tiba di Indonesia

https://t.co/NKRdZeAr5s"
1905,rony_firngAdi,2023-06-16 06:28:46+00:00,"@IndonesiainBA Ayo Timnas Garuda 🇮🇩 saatnya utk permalukan juara Piala Dunia Argentina di kandang kita, buat sejarah di kandang kita !!!"
1906,BolaNusantaraID,2023-06-16 06:28:06+00:00,"Lionel Messi Dikabarkan Batal Perkuat Argentina Lawan Timnas Indonesia, Ini Jawaban Berkelas Rafael Struick

https://t.co/sIbaN1NDF7"
1907,FansGonzales17,2023-06-16 06:27:56+00:00,"7 pemain timnas Argentina yg bkal ke Indonesia, mna nihh jagoan kamu sob? 
Klo sbgai wrga +62 aku ttep jagoin timnas Garuda 😎
#GarudaMendunia #Garuda1745 

Duren . Rendang . Ratatouille . Kwon soonyoung . Seumuran https://t.co/h63R4r3Lpd"
1908,d1dikk,2023-06-16 06:27:06+00:00,"okelah coldplay sold out timnas argentina ke indo jg soldout,
lah ni tiket van gogh jg sold out tiba2.
emg lagu van gogh yg trkenal apa si?"
